Label,modularity_class
[CH4].[HH].[H][O]1[O]([OH])[C]1([H])[H],1
[CH4].[HH].[H][O]1[O][C]([H])([H])[O]1,3
[CH4].[HH].[H][O]1[O]=[O][C]1([H])[H],3
[CH4].[HH].[HH].[H][C]([H])([OH])[O][OH],1
[CH4].[HH].[HH].[H][C]([H])=[O].[O]#[O],2
[CH4].[HH].[HH].[H][C]([H])=[O][O]=[O],3
[CH4].[HH].[HH].[H][C]1([H])[O][O]=[O]1,2
[CH4].[HH].[HH].[H][C]1([H])[O][O]1.[OH2],1
[CH4].[HH].[HH].[H][C]1([H])[O][O]1[OH],2
[CH4].[HH].[HH].[H][C]1([H])[O]2[O][O]21,3
[CH4].[HH].[HH].[H][CH]([H])[O]([OH])[OH],1
[CH4].[HH].[HH].[H][CH]([H])[O][OH].[OH2],2
[CH4].[HH].[HH].[H][CH]([H])[O]1[O][O]1,0
[CH4].[HH].[HH].[H][CH]([H])[O]1[O]=[O]1,2
[CH4].[HH].[HH].[H][CH]([H])[OH].[OH2].[OH2],1
[CH4].[HH].[HH].[H][CH]=[O][O]=[O][H],1
[CH4].[HH].[HH].[H][CH2][H].[O]1[O][O]1,0
[CH4].[HH].[HH].[H][CH2][H].[OH][O][OH],2
[CH4].[HH].[HH].[H][CH2][H].[OH2].[OH][OH],1
[CH4].[HH].[HH].[H][CH2][H].[OH2].[OH2].[OH2],2
[CH4].[HH].[HH].[H][CH2][O]([H])[O][OH],1
[CH4].[HH].[HH].[H][CH2][O]([OH])[O][H],1
[CH4].[HH].[HH].[H][CH2][O][O]([H])[OH],1
[CH4].[HH].[HH].[H][CH3].[H][O]([OH])[OH],2
[CH4].[HH].[HH].[H][CH3].[H][O][O][OH],2
[CH4].[HH].[HH].[H][CH3].[H][O][OH].[OH2],1
[CH4].[HH].[HH].[H][CH3].[H][O]1[O][O]1,1
[CH4].[HH].[HH].[H][CH3].[H][OH].[OH][OH],1
[CH4].[HH].[HH].[HH].[H][C]#[O].[O]=[O],1
[CH4].[HH].[HH].[HH].[H][C]1=[O][O][O]1,3
[CH4].[HH].[HH].[HH].[H][C]1=[O][O]1[OH],3
[CH4].[HH].[HH].[HH].[H][CH]=[O].[O]#[O],1
[CH4].[HH].[HH].[HH].[H][CH]=[O][O]=[O],2
[CH4].[HH].[HH].[HH].[H][CH]1[O][O]=[O]1,1
[CH4].[HH].[HH].[HH].[H][CH2][O]([OH])[OH],2
[CH4].[HH].[HH].[HH].[H][CH2][O][OH].[OH2],1
[CH4].[HH].[HH].[HH].[H][CH2][O]1[O][O]1,1
[CH4].[HH].[HH].[HH].[H][CH3].[O]1[O][O]1,2
[CH4].[HH].[HH].[HH].[H][CH3].[OH][O][OH],1
[CH4].[HH].[HH].[HH].[H][CH3].[OH2].[OH][OH],2
[CH4].[HH].[HH].[HH].[H][CH3].[OH2].[OH2].[OH2],1
[H][C]([H])([C]#[O])[O][OH].[H][H],1
[H][C]([H])([CH3])[O]([OH])[OH].[H][H],1
[H][C]([H])([CH3])[O][O][OH].[H][H],1
[H][C]([H])([CH3])[O][OH].[H][H].[OH2],2
[H][C]([H])([CH3])[O][OH].[H][O][H],1
[H][C]([H])([CH3])[O]1[O]=[O]1.[H][H],2
[H][C]([H])([CH3])[OH].[H][H].[OH][OH],2
[H][C]([H])([CH3])[OH].[H][H].[OH2].[OH2],1
[H][C]([H])([CH3])[OH].[H][O]([H])[OH],1
[H][C]([H])([CH3])[OH].[H][O][O][H],1
[H][C]([H])([H])[C]([H])([OH])[O]=[O],0
[H][C]([H])([H])[C]([H])([OH])[OH].[OH2],0
[H][C]([H])([H])[C]#[O].[H][O][OH],1
[H][C]([H])([H])[C]1([H])[O][O][O]1,0
[H][C]([H])([H])[C]1([H])[O][O]1[OH],0
[H][C]([H])([H])[C]1([H])[O]=[O]1.[OH2],0
[H][C]([H])([H])[C]1([H])[O]2[O][O]21,0
[H][C]([H])([H])[CH2][O][OH].[H][OH],1
[H][C]([H])([H])[CH3].[H][O]([OH])[OH],1
[H][C]([H])([H])[CH3].[H][O][O][OH],1
[H][C]([H])([H])[CH3].[H][O][OH].[OH2],2
[H][C]([H])([H])[CH3].[H][O]1[O]=[O]1,2
[H][C]([H])([H])[CH3].[H][OH].[OH][OH],2
[H][C]([H])([H])[CH3].[H][OH].[OH2].[OH2],1
[H][C]([H])([OH])[C]([H])([H])[O]=[O],2
[H][C]([H])([OH])[C]([H])([H])[OH].[OH2],4
[H][C]([H])([OH])[CH2][O][OH].[H][H],1
[H][C]([H])([OH])[O]1[O][C]1([H])[H],3
[H][C]([H])=[C]([H])[H].[O]=[O][OH],4
[H][C]([H])=[C]([H])[H].[O]1[O][O]1,0
[H][C]([H])=[C]([H])[H].[OH2].[O]#[O],2
[H][C]([H])=[C]([H])[O]([H])[O][OH],2
[H][C]([H])=[C]([H])[O][O]([H])[OH],2
[H][C]([H])=[C]([H])[O]=[O].[H][OH],4
[H][C]([H])=[C]([H])[OH].[H][O]=[O],4
[H][C]([H])=[C]([OH])[O]=[O].[H][H],1
[H][C]([H])=[C]=[O].[H][H].[O]=[O],2
[H][C]([H])=[C]=[O].[H][O]([H])[OH],1
[H][C]([H])=[C]=[O].[H][O][O][H],1
